

***********    Page Summary   **************
run, id, name, date, time, page, OS name, OS version, browser name, browser version, duration, network, http Request, http response, build DOM, render, total resources, total resources size, total resources duration
Current Run,0,Amazon Home,2022-08-08,16:29:53,https://www.amazon.com/,WINDOWS,10,Chrome,104,3789,42,201,114,1423,2008,49,464062,24822.700000000652
Base Run,0,Amazon Home,2022-08-07,14:00:13,https://www.amazon.com/,WINDOWS,10,Chrome,104,3314,913,534,279,1506,68,300,2971487,102422.0

***********    Page Type Diff Analysis   **************
type, items, size, duration, comparison result
link,-2,-39720,1313.5,found match
img,-230,-2177646,-70762.19999999949,found match
script,-3,-97892,-262.30000000074506,found match
css,-7,-190407,-4649.0999999996275,found match
fetch,0,0,15.0,found match
beacon,1,0,-180.3999999994412,found match
other,0,-11,-201.70000000018626,found match
xmlhttprequest,-9,-1749,-2252.1999999997206,found match
iframe,-1,0,-619.9000000001397,exist only in reference

***********    Page Resource Diff Analysis   **************
name, type, size, duration, comparison result
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F11EIQ5IGqaL._RC%257C01ZTHTZObnL.css%2C41N8FDnTmPL.css%2C31qGOnSAToL.css%2C013z33uKh2L.css%2C017DsKjNQJL.css%2C01l9iDpr-DL.css%2C41EWOOlBJ9L.css%2C11UoGyLuXoL.css%2C01ElnPiDxWL.css%2C11QxHU4QYaL.css%2C01Sp8sB1HiL.css%2C01IdKcBuAdL.css%2C01y-XAlI%2B2L.css%2C21N4kUH7pxL.css%2C01oDR3IULNL.css%2C31zpKVx8wkL.css%2C21j0IlW7xKL.css%2C01XPHJk60-L.css%2C01WnLnges8L.css%2C213-TsN3lHL.css%2C11L58Qpo0GL.css%2C21kyTi1FabL.css%2C01ruG%2BgDPFL.css%2C01egbgkonWL.css%2C31C80IiXalL.css%2C11HfsR5CzYL.css%2C119I1lTJONL.css%2C11nsDBPXKgL.css%2C11WgRxUdJRL.css%2C013RDhw9hoL.css%2C11JQtnL-6eL.css%2C11k89RclloL.css%2C11OxCoGkNYL.css%2C01QrWuRrZ-L.css%2C21pIv-yKhaL.css%2C11LyZ3b1QqL.css%2C01890%2BVwk8L.css%2C11kwKGWmBfL.css%2C11F2%2BOBzLyL.css%2C01piEq-AdwL.css%2C11Z1a0FxSIL.css%2C01cbS3UK11L.css%2C21F85am0yFL.css%2C01giMEP%2BdjL.css_.css%3FAUIClients%2FAmazonUI%26%2FJfc5fwd%23us.page_type-Gateway.not-trident.282109-T1.278290-T2,link,23556,937.5,new
https://images-na.ssl-images-amazon.com/images/I/41fr+NM7MEL.css?AUIClients/AmazonGatewayAuiAssets&/3eJPhjR#224544-T1,link,4736,947.2999999998137,new
https://images-na.ssl-images-amazon.com/images/G/01/kindle/merch/2019/4852331/Gateway-TallHero-1500x600._CB413504635_.jpg,img,90185,1042.3999999999069,new
https://images-na.ssl-images-amazon.com/images/G/01/PLF/Daily_Ritual/2020/SPRING-DRIVERS/DAILY-RITUAL-COTTON-PUFF-SLEEVE_DT_CC_379x304_1x._SY304_CB410865121_.jpg,img,23943,1049.1000000000931,new
https://images-na.ssl-images-amazon.com/images/G/01/xba/GD_US_E_July_2020_379x304._SY304_CB429362087_.jpg,img,14472,1049.7000000001863,new
https://images-na.ssl-images-amazon.com/images/G/01/AMAZON_FASHION/2020/journeys/NTE3Zjc1NTEt/NTE3Zjc1NTEt-ZWVhMjc2YjAt-w186._SY116_CB410473316_.jpg,img,7948,1051.2000000001863,new
https://images-na.ssl-images-amazon.com/images/G/01/AMAZON_FASHION/2020/journeys/NTE3Zjc1NTEt/NTE3Zjc1NTEt-MzBhMzU0M2Mt-w186._SY116_CB428347144_.jpg,img,4216,1048.6000000000931,new
https://images-na.ssl-images-amazon.com/images/G/01/AMAZON_FASHION/2020/journeys/NTE3Zjc1NTEt/NTE3Zjc1NTEt-N2IwYmQwNGIt-w186._SY116_CB428347147_.jpg,img,6584,1048.8999999999069,new
https://images-na.ssl-images-amazon.com/images/G/01/AMAZON_FASHION/2020/journeys/NTE3Zjc1NTEt/NTE3Zjc1NTEt-YjliNzM1M2Mt-w186._SY116_CB428347147_.jpg,img,5242,1049.3999999999069,new
https://images-na.ssl-images-amazon.com/images/G/01/img18/home/journeys/OWFhYjJmNGIt/OWFhYjJmNGIt-NzIwODU5ZmIt-w379._SY304_CB405958196_.jpg,img,14475,1049.5999999996275,new
https://images-na.ssl-images-amazon.com/images/G/01/AmazonServices/Site/US/Product/FBA/Outlet/Merchandising/Outlet_GW_BS_DSC_379x304._SY304_CB409178716_.jpg,img,12507,1049.7999999998137,new
https://images-na.ssl-images-amazon.com/images/G/01/img18/home/journeys/MjJkZGVlZDYt/MjJkZGVlZDYt-OGRmN2JmYWEt-w379._SY304_CB410698465_.jpg,img,20231,1050.1000000000931,new
https://images-na.ssl-images-amazon.com/images/G/01/kindle/journeys/YjAwMjVmYjUt/YjAwMjVmYjUt-YmMzZGJjMzYt-w379._SY304_CB410321238_.jpg,img,11625,1050.5,new
https://images-na.ssl-images-amazon.com/images/G/01/softlines/shopbop/ingress/2020/CategoryCards/mp_20200604_fashion_desktopsinglecategory_desktop_379x304._SY304_CB430707313_.jpg,img,17603,1049.0,new
https://images-na.ssl-images-amazon.com/images/G/01/gno/images/general/backup-logo_blue._CB481621655_.png,img,1266,1049.7000000001863,new
https://assoc-na.associates-amazon.com/abid/um?s=000-0000000-0000000&m=ATVPDKIKX0DER,img,0,3374.0,new
https://images-na.ssl-images-amazon.com/images/I/61-6nKPKyWL.js?AUIClients/AmazonUIjQuery,script,29875,389.59999999962747,new
https://images-na.ssl-images-amazon.com/images/I/01rGP6HIADL.js?AUIClients/GenericObservableJS,script,53,-117.39999999990687,found match
https://images-na.ssl-images-amazon.com/images/I/01MyDk1J4OL._RC%7C41RMBls-AWL.js_.js?AUIClients/AmazonGatewayAuiAssets&3ajKa8bY#cacheable-1.224544-T1,script,7167,384.60000000009313,new
https://m.media-amazon.com/images/S/sash/ydDD9hnRfziI_y7.png,css,6161,209.60000000009313,new
https://images-na.ssl-images-amazon.com/images/I/31qubZ+1HFL.js?AUIClients/AmazonGatewayHerotatorJS,script,2900,201.5,new
https://m.media-amazon.com/images/G/01/csm/showads.v2.js?adtag=csm,fetch,328,103.70000000018626,new
https://m.media-amazon.com/images/S/sash/pDxWAF1pBB0dzGB.woff2,css,0,-298.29999999981374,found match
https://unagi-na.amazon.com/1/events/com.amazon.csm.nexusclient.prod,beacon,0,-51.5999999998603,found match
https://www.amazon.com/rd/uedata?ld&v=0.215061.0&id=GA1XKWN8C36HWZG2CZEE&sw=1280&sh=1024&vw=1017&vh=827&m=1&sc=GA1XKWN8C36HWZG2CZEE&ue=4&bb=968&cf=1162&be=1178&fp=1146&fcp=1146&pc=3367&tc=-393&na_=-393&ul_=-1659956389012&_ul=-1659956389012&rd_=-1659956389012&_rd=-1659956389012&fe_=-389&lk_=-389&_lk=-389&co_=-388&_co=-351&sc_=-367&rq_=-350&rs_=-149&_rs=-35&dl_=-16&di_=1388&de_=1388&_de=1388&_dc=3366&ld_=3367&_ld=-1659956389012&ntd=0&ty=0&rc=0&hob=1&hoe=4&ld=3367&t=1659956392379&ctb=1&rt=cf:15-0-2-13-1-0-0__ld:24-4-2-14-4-0-1&csmtags=aui|aui:aui_build_date:3.20.8-2020-12-10|gwCFImgNoCache|fls-na-amazon-com|adblk_no&viz=visible:4&pty=Gateway&spty=desktop&pti=desktop&tid=GA1XKWN8C36HWZG2CZEE&aftb=1,img,371,246.60000000009313,new
https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:000-0000000-0000000:GA1XKWN8C36HWZG2CZEE$uedata=s:%2Frd%2Fuedata%3Fld%26v%3D0.215061.0%26id%3DGA1XKWN8C36HWZG2CZEE%26sw%3D1280%26sh%3D1024%26vw%3D1017%26vh%3D827%26m%3D1%26sc%3DGA1XKWN8C36HWZG2CZEE%26ue%3D4%26bb%3D968%26cf%3D1162%26be%3D1178%26fp%3D1146%26fcp%3D1146%26pc%3D3367%26tc%3D-393%26na_%3D-393%26ul_%3D-1659956389012%26_ul%3D-1659956389012%26rd_%3D-1659956389012%26_rd%3D-1659956389012%26fe_%3D-389%26lk_%3D-389%26_lk%3D-389%26co_%3D-388%26_co%3D-351%26sc_%3D-367%26rq_%3D-350%26rs_%3D-149%26_rs%3D-35%26dl_%3D-16%26di_%3D1388%26de_%3D1388%26_de%3D1388%26_dc%3D3366%26ld_%3D3367%26_ld%3D-1659956389012%26ntd%3D0%26ty%3D0%26rc%3D0%26hob%3D1%26hoe%3D4%26ld%3D3367%26t%3D1659956392379%26ctb%3D1%26rt%3Dcf%3A15-0-2-13-1-0-0__ld%3A24-4-2-14-4-0-1%26csmtags%3Daui%7Caui%3Aaui_build_date%3A3.20.8-2020-12-10%7CgwCFImgNoCache%7Cfls-na-amazon-com%7Cadblk_no%26viz%3Dvisible%3A4%26pty%3DGateway%26spty%3Ddesktop%26pti%3Ddesktop%26tid%3DGA1XKWN8C36HWZG2CZEE%26aftb%3D1:3378,img,0,332.70000000018626,new
