

***********    Page Summary   **************
run, id, name, date, time, page, OS name, OS version, browser name, browser version, duration, network, http Request, http response, build DOM, render, total resources, total resources size, total resources duration
Current Run,0,Quality DevOPS Book,2022-08-08,16:37:00,https://www.amazon.com/Digital-Quality-Handbook-Achieving-Continuous/dp/0692885994/ref=sr_1_1?crid=3P9AVN4QEL88S&keywords=the+digital+quality+handbook&qid=1659956813&sprefix=the+digital+qulity+handbook%2Caps%2C484&sr=8-1,WINDOWS,10,Chrome,104,3262,2,214,1369,640,1034,194,3724698,20056.39999999944
Base Run,0,Quality DevOPS Book,2022-08-07,14:00:28,https://www.amazon.com/Digital-Quality-Handbook-Achieving-Continuous/dp/0692885994/ref=sr_1_1?crid=212GCG1GX09OA&keywords=the+digital+quality+handbook&qid=1659861019&sprefix=the+digital+qulity+handbook%2Caps%2C653&sr=8-1,WINDOWS,10,Chrome,104,4418,5,258,1714,1138,1247,226,3746607,38944.299999997485

***********    Page Type Diff Analysis   **************
type, items, size, duration, comparison result
link,0,17378,-8838.099999999395,found match
img,-8,311049,-6076.499999999534,found match
css,-17,-346945,-391.59999999939464,found match
script,-3,-6461,-748.9000000008382,found match
xmlhttprequest,-4,-1215,-1726.8000000002794,found match
iframe,-1,0,-330.6999999997206,found match
beacon,1,0,-126.29999999981374,found match
fetch,0,4285,-648.9999999990687,found match

***********    Page Resource Diff Analysis   **************
name, type, size, duration, comparison result
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F11EIQ5IGqaL._RC%257C01ZTHTZObnL.css%2C41C-I1lXVwL.css%2C31ufSReDtSL.css%2C013z33uKh2L.css%2C017DsKjNQJL.css%2C0131vqwP5UL.css%2C41EWOOlBJ9L.css%2C11TIuySqr6L.css%2C01ElnPiDxWL.css%2C11Qjwq-j69L.css%2C01Dm5eKVxwL.css%2C01IdKcBuAdL.css%2C01y-XAlI%2B2L.css%2C21P6CS3L9LL.css%2C01oDR3IULNL.css%2C41CYNGpGlrL.css%2C01XPHJk60-L.css%2C01smHc51S9L.css%2C21aPhFy%2BriL.css%2C11gneA3MtJL.css%2C21fecG8pUzL.css%2C01ulGzBW88L.css%2C01CFUgsA-YL.css%2C31C80IiXalL.css%2C11qour3ND0L.css%2C11gKCCKQV%2BL.css%2C11061HxnEvL.css%2C11oHt2HYxnL.css%2C01uPgw4sNAL.css%2C11JQtnL-6eL.css%2C116v6uYvN6L.css%2C11jtXRmppwL.css%2C01QrWuRrZ-L.css%2C21zuRztKjtL.css%2C11QyqG8yiqL.css%2C11K24eOJg4L.css%2C11F2%2BOBzLyL.css%2C01890%2BVwk8L.css%2C11Y05DTEL6L.css%2C01cbS3UK11L.css%2C21F85am0yFL.css%2C01giMEP%2BdjL.css_.css%3FAUIClients%2FAmazonUI%23us.not-trident,link,0,2.5,found match
https://images-na.ssl-images-amazon.com/images/I/61lemL2h6EL.js?AUIClients/AmazonUIjQuery&KK9dlo3A#412402-T1.412405-T1,link,0,-88.00000000023283,found match
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F11Y%2B5x%2BkkTL._RC%257C51fH61%2BExwL.js%2C11yKORv-GTL.js%2C11giXtZCwVL.js%2C01%2Bz%2BuIeJ-L.js%2C01VRMV3FBdL.js%2C21SDJtBU-PL.js%2C012FVc3131L.js%2C11rRjDLdAVL.js%2C513g-moecaL.js%2C11kWu3cNjYL.js%2C11aKqyRXooL.js%2C11OREnu1epL.js%2C11qVTZscrRL.js%2C21ssiLNIZvL.js%2C0190vxtlzcL.js%2C51%2BN26vFcBL.js%2C01JYHc2oIlL.js%2C31nfKXylf6L.js%2C01ezj5Rkz1L.js%2C11bEz2VIYrL.js%2C31o2NGTXThL.js%2C01rpauTep4L.js%2C013B7CZevpL.js_.js%3FAUIClients%2FAmazonUI,link,0,-97.60000000009313,found match
https://images-na.ssl-images-amazon.com/images/I/51SrwqaWgEL.js?AUIClients/CardJsRuntimeBuzzCopyBuild,link,0,-89.8000000002794,found match
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F41H4XraWzVL._RC%257C71b%2B5XXNBOL.css%2C41j9vvkVW2L.css%2C312TpTsYxPL.css%2C31YZpDCYJPL.css%2C21MKjoYL8wL.css%2C41yQj5y2obL.css%2C01yCq3WXEcL.css%2C11kO7yAgiQL.css%2C31OvHRW%2BXiL.css%2C01XHMOHpK1L.css%2C11iUHDm4--L.css%2C31jJwAF%2ByLL.css%2C01YWmXMYw8L.css_.css%3FAUIClients%2FNavDesktopUberAsset%26eRSuagD1%23desktop.310484-T1,link,0,-97.69999999995343,found match
https://images-na.ssl-images-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-hm-dsk-reorg._CB405937547_.png,img,0,0.0,found match
https://m.media-amazon.com/images/S/sash/Dv1WQ5DdeMS5qP7.woff2,css,0,0.0,found match
https://m.media-amazon.com/images/S/sash/ozb5-CLHQWI6Soc.woff2,css,0,0.0,found match
https://m.media-amazon.com/images/S/sash/pDxWAF1pBB0dzGB.woff2,css,0,0.0,found match
https://m.media-amazon.com/images/S/sash/WOnTLzkiaEccV7F.woff2,css,0,0.0,found match
https://m.media-amazon.com/images/S/sash/VjTR4RqBzY0mUYx.woff2,css,0,0.0,found match
https://m.media-amazon.com/images/S/sash/KwhNPG8Jz-Vz2X7.woff2,css,0,0.0,found match
https://m.media-amazon.com/images/S/sash/KFPk-9IF4FqAqY-.woff2,css,0,0.0,found match
https://m.media-amazon.com/images/S/sash/2SazJx$EeTHfhMN.woff2,css,0,0.0,found match
https://m.media-amazon.com/images/S/sash/fe2UeLQmJ11kKHN.png,css,0,0.0,found match
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F01j2xsQ1yML._RC%257C01bTUA%2B3s-L.css%2C01CsBPpeYIL.css_.css%3FAUIClients%2FDetailPageMetaAssetFixed%26wqcofOh4%23desktop.376187-T1.376188-T1,link,0,-55.200000000186265,found match
https://images-na.ssl-images-amazon.com/images/I/11ZsAb1tv9L._RC%7C11B3-fvRFzL.css_.css?AUIClients/AmazonUICalendar#not-trident,link,0,-171.79999999981374,found match
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F518YqM2jRPL._RC%257C218Y6Z0tipL.css%2C315GMAwkLiL.css%2C01Qji-D4YPL.css%2C01vUDet4b1L.css%2C01D-B-OeNDL.css%2C01rdVnPkgmL.css%2C01KvCqKMBgL.css%2C11%2BEEL9aL-L.css%2C517XWJuPsNL.css%2C21qSuPeiQWL.css%2C11-QsINSkyL.css%2C31l-Nc5zsiL.css%2C01FtAuFRr3L.css%2C11kmwdXfY5L.css%2C01NW8VTUeVL.css%2C01rgQ3jqo7L.css%2C21aTvN9OYZL.css%2C01kbwC%2BqjnL.css%2C01bb-Y%2BH3LL.css%2C01DMQNFrEtL.css%2C211EHwuLWIL.css%2C31TJtSmBkXL.css%2C21PjfsP9YvL.css%2C114HJAY%2BShL.css%2C01wsp46SQTL.css%2C21VgVEzltcL.css%2C21ZjVyQPjML.css%2C01-8BURvQmL.css%2C21pN8y-Z0zL.css%2C01bCxLIcgEL.css%2C014dX1UuNxL.css%2C31YeUjpBngL.css%2C41ocvh-XSWL.css%2C013dPvH-4JL.css%2C017DR4KMlNL.css%2C017KStdmPkL.css%2C21Dii0KLg6L.css%2C01TrKJuj6JL.css%2C0171-O%2BnBwL.css%2C21-1CDsoZDL.css%2C01P0iSwDaIL.css%2C01eviB7YqCL.css%2C01NO%2BdeJm-L.css%2C51Z9hNPr3NL.css%2C01goIIPoVxL.css_.css%3FAUIClients%2FUSMediaDetailPageMetaAsset_TURBO_DESKTOP%26ln50nSR8%23desktop.us.410055-T1.113788-C.396301-T1.343686-C.261576-T1.310456-T1.419586-T2.332210-T1.342971-T1.262481-T1.385051-T1.372155-T1.347518-T1.109378-T1.169593-T1,link,42134,92.29999999981374,new
https://images-na.ssl-images-amazon.com/images/I/31eBswkOYfL.css?AUIClients/DetailPageAllOffersDisplayAssets,link,0,-347.6999999997206,found match
https://images-na.ssl-images-amazon.com/images/I/01XCpLggugL.css?AUIClients/DetailPageDigitalBulkAssets,link,140,-171.79999999981374,found match
https://images-na.ssl-images-amazon.com/images/I/01YXz0HO1fL.css?AUIClients/MonthlyPaymentsDetailPageAssets&gLTI6Auf#us.209620-T1,link,60,-54.49999999976717,found match
https://images-na.ssl-images-amazon.com/images/I/41HwktDnAWL.css?AUIClients/DetailPageDesktopConfiguratorMetaAsset#desktop.us,link,311,-172.0999999998603,found match
https://images-na.ssl-images-amazon.com/images/I/11ZnyhZmPaL.css?AUIClients/DetailPageRichProductInformationAssets#desktop,link,103,-160.4000000001397,found match
https://images-na.ssl-images-amazon.com/images/I/21A3UQ3ouxL.css?AUIClients/DetailPageBookDetailsAssets,link,118,-159.6999999997206,found match
https://images-na.ssl-images-amazon.com/images/I/01Siq7AIgFL.css?AUIClients/DetailPageBookDescriptionAssets&amNwFHG1#466990-T1,link,84,-41.4000000001397,found match
https://images-na.ssl-images-amazon.com/images/I/01Qbw3TKo7L.css?AUIClients/DetailPageStorePickupAssets,link,0,-161.00000000023283,found match
https://images-na.ssl-images-amazon.com/images/I/01H7mXlzM7L.css?AUIClients/EbooksBottomSheetAssets#desktop,link,118,-160.5,found match
https://images-na.ssl-images-amazon.com/images/I/01o3pTns2mL.css?AUIClients/DetailPageKcpAppAssets,link,0,-160.00000000023283,found match
https://images-na.ssl-images-amazon.com/images/I/3161jDyrj5L._RC%7C01h3C4EEn9L.css_.css?AUIClients/DetailPagePurchaseReminderAssets&s56ioh4S#295516-T1,link,0,-158.79999999981374,found match
https://images-na.ssl-images-amazon.com/images/I/01yG3SOiiQL.css?AUIClients/DetailPageAlohaAssets,link,107,-160.20000000018626,found match
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F01I3s4SlPiL._RC%257C01Gujc1zuyL.js%2C511sX1zAYjL.js_.js%3FAUIClients%2FDetailPageMetaAssetFixed,link,0,-276.8000000002794,found match
https://images-na.ssl-images-amazon.com/images/I/31cu23aPw1L.js?AUIClients/AmazonUICalendar,link,478,-287.3000000002794,found match
https://images-na.ssl-images-amazon.com/images/I/01rg6Ce9FhL.js?AUIClients/DetailPageEverywhereMetaAsset,link,0,-280.49999999976717,found match
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F31Nb5hZQizL._RC%257C21E2aIDj6DL.js%2C312cXk%2BRJBL.js%2C418nwdkINnL.js%2C01g2etah0NL.js%2C01WNBm1NhqL.js%2C41DfHGdXUeL.js%2C21iRyh3KAgL.js%2C21R0uBpv5gL.js%2C31oAl8dJC2L.js%2C41Da8yriJkL.js%2C41rzIZjIs5L.js%2C31NrhU5N7JL.js%2C21YblE14ZTL.js%2C01%2BoIQ0jY7L.js%2C01TQyo0bnIL.js%2C21xeidSRyML.js%2C01kTERBenQL.js%2C71cE6n%2B32FL.js%2C01Fy9QPljuL.js%2C41lkyHEebjL.js%2C11oGaoYgbdL.js%2C11XrQLiYSSL.js%2C01X2zigX4kL.js%2C21JxBpClo0L.js%2C31vMFUg376L.js%2C01OtvpwikQL.js%2C01OMNmu9KhL.js%2C11ij34aPBOL.js%2C31hCzkCLlGL.js%2C11p0nLfNCcL.js%2C11iHZuQapKL.js%2C11PUEGgF9FL.js%2C01GhKb2usNL.js%2C61vb%2B86wK7L.js%2C013eoEBTVUL.js%2C01VEXCxz%2BaL.js%2C01JzE3-DfLL.js%2C016QFWAAdML.js%2C51kNn0uBT8L.js%2C01mrSGZKTXL.js%2C019W6kk1gjL.js%2C311A0yCIeJL.js%2C01iRN5bMQkL.js%2C41F7KHKUg4L.js%2C51PVIVHue8L.js%2C511ZzeWzHLL.js%2C21eImEq0bYL.js%2C21jjR7rDyjL.js%2C31q-VNzB6aL.js%2C11qajewhV-L.js%2C51OkxATJ0FL.js%2C01j5DeZSMzL.js%2C31E0yPIOfyL.js%2C41I03FXXAtL.js%2C31IpDiN7OcL.js%2C01LsJn5eoxL.js%2C312WbydcL7L.js%2C51rZaUNXZiL.js%2C01tx7ThnHlL.js%2C01dJmwq51GL.js%2C21IQl4blS4L.js%2C51-z72dZXhL.js%2C21XGPZn40dL.js%2C019MkidFEWL.js%2C61sS5PiEa%2BL.js%2C21R4scfPaqL.js%2C01RYN21w6TL.js_.js%3FAUIClients%2FUSMediaDetailPageMetaAsset_TURBO_DESKTOP%26snlMoiyZ%23desktop.us.313053-T1.381936-T1.292695-C.395071-T1.432601-T1.195406-C.342422-T1.267691-T1.394595-T1.394753-T1.434612-T1.413089-T1.410779-T1.396187-T1.411489-T1.332210-T1.342971-T1.184660-C.395579-T1.262481-T1.385051-T1.425331-T1.421802-T1.400581-T1.347518-T1.364202-T1.355278-T1.109378-T1.374658-T1.383367-T1.395180-T1.398799-T1.169593-T1,link,222467,257.0,new
https://images-na.ssl-images-amazon.com/images/I/61E1mPhRU%2BL.js?AUIClients/DetailPageAllOffersDisplayAssets&juj2whyh#language-en.423044-T1,link,4070,-273.70000000018626,found match
https://images-na.ssl-images-amazon.com/images/I/01e3LnhQJEL.js?AUIClients/KindleEducationDetailPageAssets,link,121,-218.99999999976717,found match
https://images-na.ssl-images-amazon.com/images/I/21WMksupVuL.js?AUIClients/DetailPageDigitalBulkAssets,link,159,-257.29999999981374,found match
https://images-na.ssl-images-amazon.com/images/I/912WUGifQBL.js?AUIClients/GestaltDetailPageDesktopMetaAsset,link,160627,228.8000000002794,new
https://images-na.ssl-images-amazon.com/images/I/314Q6kQLBPL.js?AUIClients/MonthlyPaymentsDetailPageAssets&gLTI6Auf#us.209620-T1,link,0,-219.5,found match
https://images-na.ssl-images-amazon.com/images/I/51mm4uNbuJL.js?AUIClients/DetailPageDesktopConfiguratorMetaAsset&hZIkuCrB#384314-T1,link,0,-229.20000000018626,found match
https://images-na.ssl-images-amazon.com/images/I/01xYoNpncfL.js?AUIClients/MorpheusPopularityRankSidesheetAssets,link,0,-224.2000000004191,found match
https://images-na.ssl-images-amazon.com/images/I/01WiwHeuWrL.js?AUIClients/DetailPageRichProductInformationAssets#desktop,link,61,-226.79999999981374,found match
https://images-na.ssl-images-amazon.com/images/I/219p5yIhyrL.js?AUIClients/DetailPageBookDescriptionAssets&amNwFHG1#desktop.466990-T1,link,153,-219.60000000009313,found match
https://images-na.ssl-images-amazon.com/images/I/21Q2xC%2BNB2L.js?AUIClients/DetailPageStorePickupAssets,link,0,-224.69999999995343,found match
https://images-na.ssl-images-amazon.com/images/I/31WdLVt2M1L.js?AUIClients/EbooksBottomSheetAssets&l3d82zD2#desktop.389018-T1,link,597,-220.20000000018626,found match
https://images-na.ssl-images-amazon.com/images/I/01CrI5-D%2BHL.js?AUIClients/DetailPageKcpAppAssets,link,0,-222.39999999990687,found match
https://images-na.ssl-images-amazon.com/images/I/01S0FvfmVGL.js?AUIClients/InstallmentPaymentDetailPageMetaAsset,link,0,-221.49999999953434,found match
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F51THVL5geyL._RC%257C712zSwv-5oL.js%2C31VbVduvhRL.js_.js%3FAUIClients%2FDetailPagePurchaseReminderAssets%26s56ioh4S%23295516-T1,link,8371,-291.6999999997206,found match
https://images-na.ssl-images-amazon.com/images/I/31nGJugTZrL.js?AUIClients/DetailPageAlohaAssets&gIQaxk9c#421616-T1,link,550,-220.5999999998603,found match
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F41RwmyF-0yL._SY291_BO1%2C204%2C203%2C200_QL40_FMwebp_.jpg,img,0,-36.09999999962747,found match
https://images-na.ssl-images-amazon.com/images/G/01/US-hq/2021/img/Amazon_Exports/XCM_CUTTLE_1351597_1786068_US_650x45_en_US._CB645630042_.jpg,img,0,-161.39999999990687,found match
https://m.media-amazon.com/images/S/sash/McBZv0ZvnbehkIx.png,css,0,0.0,found match
https://m.media-amazon.com/images/S/sash/ouR9NRElwmzAIev.png,css,0,0.0,found match
https://images-na.ssl-images-amazon.com/images/G/01/digital/sitb/sticker/sitb-sticker-v3-small._CB485933792_.png,img,0,-71.79999999981374,found match
